City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,andrews farm,-34.6775,138.6637,19.64,77,100,1.17,AU,1731337479
83,iranshahr,27.2025,60.6848,28.19,18,0,2.06,IR,1731337480
84,marka,1.7159,44.7717,27.03,81,95,5.07,SO,1731337481
85,inongo,-1.95,18.2667,24.79,76,45,1.7,CD,1731337482
86,amursk,50.2261,136.8994,-3.03,66,100,3.44,RU,1731337483
87,nuuk,64.1835,-51.7216,-1.66,86,75,3.6,GL,1731337484
88,hithadhoo,-0.6,73.0833,28.62,72,20,6.45,MV,1731337486
89,lucea,18.451,-78.1736,29.36,76,38,3.34,JM,1731337487
90,paradip garh,20.3167,86.6167,25.64,69,100,3.63,IN,1731337488
91,richards bay,-28.783,32.0377,20.75,90,100,2.81,ZA,1731337489
92,santa elena de uairen,4.6167,-61.1333,28.73,43,1,1.67,VE,1731337490
93,tsiombe,-25.3,45.4833,26.57,68,5,4.37,MG,1731337491
94,grande prairie,55.1667,-118.8027,-2.9,93,75,3.6,CA,1731337209
95,lobito,-12.3481,13.5456,26.49,72,30,2.93,AO,1731337494
96,codrington,-38.2667,141.9667,10.6,92,7,3.48,AU,1731337495
97,roma,43.2128,-75.4557,13.54,71,100,5.14,US,1731337496
98,weno,7.4515,151.8468,28.63,74,93,3.83,FM,1731337498
99,papatowai,-46.5619,169.4708,6.29,90,0,2.46,NZ,1731337499
100,yangambi,0.8102,24.4336,28.34,64,83,0.4,CD,1731337500
101,hadibu,12.65,54.0333,26.4,75,17,3.18,YE,1731337501
102,luderitz,-26.6481,15.1594,19.56,66,0,13.64,NA,1731337502
103,ixtapa,20.7,-105.2,26.24,73,40,2.57,MX,1731337405
104,hasaki,35.7333,140.8333,19.37,62,0,9.55,JP,1731337504
105,muromtsevo,56.3724,75.2418,-9.7,90,100,5.43,RU,1731337506
106,san vicente de canete,-13.0751,-76.3835,20.3,73,90,3.06,PE,1731337507
107,gribanovskiy,51.4579,41.9764,2.19,74,100,1.43,RU,1731337508
108,wailua homesteads,22.0669,-159.378,23.44,95,100,6.17,US,1731337509
109,tazacorte,28.629,-17.9293,24.54,65,20,5.14,ES,1731337510
110,hawaiian paradise park,19.5933,-154.9731,21.61,73,0,3.09,US,1731337513
111,fale old settlement,-9.3852,-171.2468,28.16,75,60,5.87,TK,1731337514
112,longboat key,27.4125,-82.659,27.81,76,40,3.09,US,1731337515
113,kiunga,-6.1219,141.2906,23.25,99,95,0.56,PG,1731337516
114,bilibino,68.0546,166.4372,-26.76,100,57,1.99,RU,1731337518
115,port hedland,-20.3167,118.5667,30.03,58,100,5.66,AU,1731337520
116,chifeng,42.2683,118.9636,5.5,47,0,0.67,CN,1731337522
117,benghazi,32.1167,20.0667,22.2,62,5,3.09,LY,1731337523
118,bethanie,-26.4833,17.15,28.4,7,0,4.68,NA,1731337524
119,ust-nera,64.5667,143.2,-29.21,99,95,0.76,RU,1731337526
120,iwanai,42.9744,140.5089,2.42,80,3,1.21,JP,1731337527
121,canavieiras,-15.675,-38.9472,24.66,89,99,3.32,BR,1731337529
122,severo-yeniseyskiy,60.3725,93.0408,-13.6,95,77,3.06,RU,1731337531
123,sterling,39.0062,-77.4286,19.43,79,40,3.09,US,1731337532
124,kone,-21.0595,164.8658,21.89,83,5,2.38,NC,1731337476
125,mayuge,0.4597,33.4803,23.18,69,98,2.82,UG,1731337535
126,kingston,17.997,-76.7936,30.65,70,20,2.06,JM,1731337488
127,haiku-pauwela,20.9219,-156.3051,22.33,82,12,13.41,US,1731337537
128,touros,-5.1989,-35.4608,29.51,55,73,5.78,BR,1731337538
129,puerto natales,-51.7236,-72.4875,12.25,54,100,9.26,CL,1731337307
130,taoudenni,22.6783,-3.9836,32.88,10,68,4.76,ML,1731337540
131,flin flon,54.7682,-101.865,-1.09,93,100,4.12,CA,1731337542
132,viana do castelo,41.6932,-8.8329,19.79,67,0,3.76,PT,1731337543
133,fort mcmurray,56.7268,-111.381,-2.23,93,100,4.12,CA,1731337544
134,mattapoisett,41.6584,-70.8161,17.33,85,100,9.39,US,1731337545
135,stanley,54.868,-1.6985,10.29,72,20,3.09,GB,1731337546
136,gadzhiyevo,69.2551,33.3362,2.7,75,100,7.46,RU,1731337547
137,ambur,12.7833,78.7,24.52,70,79,2.17,IN,1731337549
138,zhanaozen,43.3,52.8,8.21,80,100,4.72,KZ,1731337550
139,luwingu,-10.2621,29.9271,21.01,76,69,1.6,ZM,1731337551
140,avarua,-21.2078,-159.775,22.03,73,75,3.6,CK,1731337552
141,leninskoye,41.7589,69.3864,5.93,69,89,0.27,KZ,1731337553
142,san bernardo del viento,9.3533,-75.9524,27.74,72,68,5.43,CO,1731337554
143,sinabang,2.4803,96.3801,26.34,83,96,1.91,ID,1731337555
